# Solver information
# Time              	p_rgh_solver        	p_rgh_initial       	p_rgh_final         	p_rgh_iters         	p_rgh_converged     
2.18191582927       	GAMG	8.119009351070e-02	4.029971564210e-04	1	true
2.18372424634       	GAMG	8.001162924510e-02	3.753438893530e-04	1	true
2.18553266342       	GAMG	7.952748317740e-02	3.979403809450e-04	1	true
2.18734108049       	GAMG	7.688439202120e-02	3.661557513050e-04	1	true
2.18914949756       	GAMG	7.580933179450e-02	3.735856160390e-04	1	true
2.19095791464       	GAMG	7.429568789690e-02	3.383025119160e-04	1	true
2.19276633171       	GAMG	7.366992599050e-02	3.489384466350e-04	1	true
2.19457474878       	GAMG	7.262396197970e-02	3.383887584930e-04	1	true
2.19638316585       	GAMG	6.967521260050e-02	3.299278545440e-04	1	true
2.19819158293       	GAMG	7.076430413290e-02	3.411886763520e-04	1	true
2.2                 	GAMG	7.184349788010e-02	3.409988964550e-04	1	true
2.20166666667       	GAMG	6.778882675000e-02	3.110879099800e-04	1	true
2.20339285714       	GAMG	7.055243735370e-02	3.278608292320e-04	1	true
2.20505739796       	GAMG	6.941840266220e-02	3.020703450010e-04	1	true
2.20672193878       	GAMG	7.050320726460e-02	3.194295247920e-04	1	true
2.20838647959       	GAMG	7.194412896220e-02	3.581920155240e-04	1	true
2.21005102041       	GAMG	7.237216112830e-02	3.402024946040e-04	1	true
2.21171556122       	GAMG	7.344934642450e-02	3.405221862860e-04	1	true
2.21338010204       	GAMG	7.329856739040e-02	3.531875058200e-04	1	true
2.21504464286       	GAMG	7.484372963760e-02	3.673641397860e-04	1	true
2.21670918367       	GAMG	7.541501962590e-02	3.385302428740e-04	1	true
2.21829446064       	GAMG	7.136011359930e-02	3.428917816070e-04	1	true
2.21987973761       	GAMG	7.130891916880e-02	3.671960893400e-04	1	true
2.22146501458       	GAMG	7.066809746600e-02	3.218916868220e-04	1	true
2.22314354313       	GAMG	7.424931660910e-02	3.448949824660e-04	1	true
2.22472333471       	GAMG	6.956272315500e-02	3.095368052370e-04	1	true
2.22630312629       	GAMG	6.820190713670e-02	3.128565876400e-04	1	true
2.22788291787       	GAMG	6.613951786090e-02	3.083673345290e-04	1	true
2.22946270945       	GAMG	6.515748573310e-02	2.998423592400e-04	1	true
2.23104250103       	GAMG	6.432170239240e-02	2.941058331380e-04	1	true
2.23262229261       	GAMG	6.317209302020e-02	2.907376350960e-04	1	true
2.2342020842        	GAMG	6.193751422610e-02	2.821530744620e-04	1	true
2.23578187578       	GAMG	5.917622106790e-02	2.887300953080e-04	1	true
2.23736166736       	GAMG	5.885972176970e-02	2.725931030500e-04	1	true
2.23894145894       	GAMG	5.774157621860e-02	2.627181558060e-04	1	true
2.24052125052       	GAMG	5.787937449470e-02	2.638836125790e-04	1	true
2.2421010421        	GAMG	5.874906119020e-02	2.651448810360e-04	1	true
2.24368083368       	GAMG	5.845402796570e-02	2.615465574600e-04	1	true
2.24526062526       	GAMG	6.005270079910e-02	2.696112479320e-04	1	true
2.24684041684       	GAMG	6.007906088220e-02	2.672598056380e-04	1	true
2.24842020842       	GAMG	6.079999915820e-02	2.855258700820e-04	1	true
2.25                	GAMG	6.131456569660e-02	2.862848967840e-04	1	true
2.25147058824       	GAMG	5.771039709410e-02	2.620838339370e-04	1	true
2.25298713235       	GAMG	6.015560905300e-02	3.004067006000e-04	1	true
2.25450367647       	GAMG	6.018736095510e-02	2.895598553390e-04	1	true
2.25597129981       	GAMG	5.837555451090e-02	2.925098979230e-04	1	true
2.25743892315       	GAMG	5.846431098580e-02	2.819596488860e-04	1	true
2.25890654649       	GAMG	5.919238338130e-02	2.878520546200e-04	1	true
2.26037416983       	GAMG	5.920600080250e-02	2.820348789290e-04	1	true
2.26184179317       	GAMG	5.973487057350e-02	2.951017151990e-04	1	true
2.26330941651       	GAMG	6.016936144110e-02	3.098863835430e-04	1	true
2.26477703985       	GAMG	5.931458644590e-02	3.035515896560e-04	1	true
2.26624466319       	GAMG	6.019729448290e-02	3.007565964380e-04	1	true
2.26765113556       	GAMG	5.822947026280e-02	3.057320940680e-04	1	true
2.26905760792       	GAMG	5.751785632920e-02	2.861829589650e-04	1	true
2.27053105516       	GAMG	6.079800559240e-02	2.971514014870e-04	1	true
2.27200450241       	GAMG	6.069769607740e-02	3.073467509820e-04	1	true
2.27340427729       	GAMG	5.725389243340e-02	2.901644679220e-04	1	true
2.27480405217       	GAMG	5.663721473540e-02	2.859004983160e-04	1	true
2.27620382704       	GAMG	5.675469719070e-02	2.726920416310e-04	1	true
2.27769108785       	GAMG	5.902064959990e-02	2.973126849830e-04	1	true
2.27908539486       	GAMG	5.534160550160e-02	2.751446805160e-04	1	true
2.28047970187       	GAMG	5.469885686950e-02	2.649088978740e-04	1	true
2.28187400888       	GAMG	5.299802678440e-02	2.483341651360e-04	1	true
